"{{728092, 445165, 539047}}","{{769063, 372057, 571184}, {757887, 373937, 580480}}","{{675139, 466353, 570812}, {691683, 440141, 580480}}","{{716110, 393245, 602949}, {719739, 380944, 611621}, {708248, 392435, 611621}, {711877, 380134, 620293}, {719706, 380971, 611627}}"
{},"{{558482, 1105314, 48508}, {550338, 1112271, 49695}}",{},"{{496196, 1165736, 50372}, {486898, 1174090, 51316}, {499112, 1161675, 51517}, {489814, 1170029, 52461}}"
"{{538028, 426646, 747630}}","{{564834, 351305, 796165}, {549479, 354393, 808432}}","{{468078, 448713, 795513}, {475499, 428373, 808432}}","{{494884, 373372, 844048}, {495888, 361250, 855166}, {496768, 360490, 855046}, {483967, 372977, 855360}, {485851, 360095, 866358}}"
"{{122440, 122440, 1467424}}","{{122440, 36646, 1553218}}",{},"{{36646, 36646, 1639012}, {30706, 18490, 1663108}, {12550, 12550, 1687204}}"
{},"{{851428, 801491, 59385}, {847267, 805008, 60029}}",{},"{{799129, 851536, 61639}, {806552, 843481, 62271}, {806552, 843481, 62271}, {813975, 835426, 62903}}"
"{{863546, 548329, 300429}, {899174, 480669, 332461}}","{{910670, 476856, 324778}, {903408, 480428, 328468}, {904442, 479073, 328789}}","{{806796, 581723, 323785}, {828714, 555703, 327887}, {828348, 555703, 328253}}","{{853920, 510250, 348134}, {860855, 499637, 351812}, {860855, 499637, 351812}, {860857, 499320, 352127}, {867792, 488707, 355805}, {860857, 499320, 352127}, {867792, 488707, 355805}}"
{},"{{836759, 826734, 48811}, {833051, 829479, 49774}}",{},"{{783371, 878498, 50435}, {790699, 870225, 51380}, {790699, 870225, 51380}, {798027, 861952, 52325}}"
"{{757835, 422084, 532385}}","{{801713, 346612, 563979}, {790169, 349319, 572816}}","{{705903, 443732, 562669}, {724164, 415314, 572826}}","{{749781, 368260, 594263}, {754683, 355293, 602328}, {753840, 356045, 602419}, {753877, 355347, 603080}, {758779, 342380, 611145}}"
"{{747757, 429099, 535448}}","{{790156, 355508, 566640}, {779323, 357028, 575953}}","{{696452, 449903, 565949}, {713318, 423023, 575963}}","{{738851, 376312, 597141}, {743506, 363179, 605619}, {742769, 363909, 605626}, {742802, 363472, 606030}, {747457, 350339, 614508}}"
{},"{{648432, 990948, 72924}}",{},"{{584596, 1052484, 75224}, {588136, 1047367, 76801}}"
"{{565265, 422209, 724830}}","{{593753, 346737, 771814}, {579161, 349444, 783699}}","{{497751, 443857, 770696}, {505171, 423424, 783709}}","{{526239, 368385, 817680}, {527679, 356170, 828455}, {528522, 355418, 828364}, {515528, 367897, 828879}, {517811, 354930, 839563}}"
"{{538139, 429209, 744956}}","{{563528, 355633, 793143}, {549446, 357153, 805705}}","{{469698, 450013, 792593}, {475456, 431133, 805715}}","{{495087, 376437, 840780}, {496113, 364034, 852157}, {496850, 363304, 852150}, {483952, 376022, 852330}, {485715, 362889, 863700}}"
"{{122450, 122450, 1467404}}","{{122450, 36855, 1552999}}",{},"{{36855, 36855, 1638594}, {30915, 18490, 1662899}, {12550, 12550, 1687204}}"
{},{},{},"{{1361474, 303464, 47366}, {1372778, 291531, 47995}, {1384082, 279598, 48624}}"
{},{},"{{1399606, 268272, 44426}, {1419912, 246860, 45532}}","{{1468462, 197108, 46734}, {1481376, 183564, 47364}, {1481386, 183240, 47678}, {1494300, 169696, 48308}}"
{},{},{},"{{1360906, 304908, 46490}, {1372207, 292666, 47431}, {1383508, 280424, 48372}}"
{},{},"{{1397480, 270646, 44178}, {1417480, 249400, 45424}}","{{1466040, 199855, 46409}, {1478888, 186378, 47038}, {1478908, 185843, 47553}, {1491756, 172366, 48182}}"
{},{},"{{1389367, 278846, 44091}, {1408589, 258381, 45334}}","{{1457248, 209055, 46001}, {1469882, 195478, 46944}, {1469892, 195267, 47145}, {1482526, 181690, 48088}}"
{},{},{},"{{1360338, 306126, 45840}, {1371636, 293688, 46980}, {1382934, 281250, 48120}}"
