{2} -> 7297
{3} -> 7141
{4} -> 7153
{5} -> 7309
{6} -> 7298
{7} -> 4996
{8} -> 4138
{9} -> 5062
{10} -> 7310
{11} -> 7142
{12} -> 4149
{13} -> 4160
{14} -> 7154
{16} -> 7165
{17} -> 5128
{18} -> 7166
{21} -> 7321
{22} -> 7322
{23} -> 7299
{24} -> 4997
{25} -> 4139
{26} -> 5063
{27} -> 7311
{28} -> 4998
{29} -> 1278
{30} -> 1498
{31} -> 5064
{33} -> 4150
{34} -> 1718
{35} -> 4161
{38} -> 5129
{39} -> 5130
{43} -> 7323
{45} -> 7143
{46} -> 4171
{47} -> 4182
{48} -> 7155
{50} -> 4172
{51} -> 1938
{52} -> 4183
{55} -> 4193
{56} -> 4194
{60} -> 7167
{67} -> 7177
{68} -> 5194
{69} -> 7178
{72} -> 5195
{73} -> 5196
{77} -> 7179
{89} -> 7333
{90} -> 7334
{94} -> 7335
{95} -> 7300
{96} -> 4999
{97} -> 4140
{98} -> 5065
{99} -> 7312
{100} -> 5000
{101} -> 1279
{102} -> 1499
{103} -> 5066
{105} -> 4151
{106} -> 1719
{107} -> 4162
{110} -> 5131
{111} -> 5132
{115} -> 7324
{117} -> 5001
{118} -> 1280
{119} -> 1500
{120} -> 5067
{122} -> 1281
{123} -> 5855
{124} -> 1501
{127} -> 1720
{128} -> 1721
{132} -> 5133
{139} -> 4173
{140} -> 1939
{141} -> 4184
{144} -> 1940
{145} -> 1941
{149} -> 4195
{161} -> 5197
{162} -> 5198
{166} -> 5199
{183} -> 7336
{189} -> 7144
{190} -> 4204
{191} -> 4215
{192} -> 7156
{194} -> 4205
{195} -> 2158
{196} -> 4216
{199} -> 4226
{200} -> 4227
{204} -> 7168
{211} -> 4206
{212} -> 2159
{213} -> 4217
{216} -> 2160
{217} -> 2161
{221} -> 4228
{233} -> 4237
{234} -> 4238
{238} -> 4239
{255} -> 7180
{283} -> 7189
{284} -> 5260
{285} -> 7190
{288} -> 5261
{289} -> 5262
{293} -> 7191
{305} -> 5263
{306} -> 5264
{310} -> 5265
{313} -> 7301
{314} -> 5002
{315} -> 4141
{316} -> 5068
{317} -> 7313
{318} -> 5003
{319} -> 1282
{320} -> 1502
{321} -> 5069
{323} -> 4152
{324} -> 1722
{325} -> 4163
{327} -> 7192
{328} -> 5134
{329} -> 5135
{333} -> 7325
{335} -> 5004
{336} -> 1283
{337} -> 1503
{338} -> 5070
{340} -> 1284
{341} -> 1
{342} -> 1504
{345} -> 1723
{346} -> 1724
{350} -> 5136
{357} -> 4174
{358} -> 1942
{359} -> 4185
{362} -> 1943
{363} -> 1944
{367} -> 4196
{377} -> 7345
{378} -> 7346
{379} -> 5200
{380} -> 5201
{382} -> 7347
{384} -> 5202
{399} -> 7348
{401} -> 7337
{407} -> 5005
{408} -> 1285
{409} -> 1505
{410} -> 5071
{412} -> 1286
{413} -> 2
{414} -> 1506
{417} -> 1725
{418} -> 1726
{422} -> 5137
{429} -> 1287
{430} -> 3
{431} -> 1507
{434} -> 4
{435} -> 5856
{439} -> 1727
{451} -> 1945
{452} -> 1946
{456} -> 1947
{473} -> 5203
{501} -> 4207
{502} -> 2162
{503} -> 4218
{506} -> 2163
{507} -> 2164
{511} -> 4229
{523} -> 2165
{524} -> 2166
{528} -> 2167
{545} -> 4240
{595} -> 5266
{596} -> 5267
{600} -> 5268
{617} -> 5269
{625} -> 7145
{626} -> 4248
{627} -> 4259
{628} -> 7157
{630} -> 4249
{631} -> 2378
{632} -> 4260
{635} -> 4270
{636} -> 4271
{640} -> 7169
{647} -> 4250
{648} -> 2379
{649} -> 4261
{652} -> 2380
{653} -> 2381
{657} -> 4272
{669} -> 4281
{670} -> 4282
{674} -> 4283
{689} -> 7349
{691} -> 7181
{719} -> 4251
{720} -> 2382
{721} -> 4262
{724} -> 2383
{725} -> 2384
{729} -> 4273
{741} -> 2385
{742} -> 2386
{746} -> 2387
{763} -> 4284
{813} -> 4292
{814} -> 4293
{818} -> 4294
{835} -> 4295
{907} -> 7193
{937} -> 7201
{938} -> 5326
{939} -> 7202
{942} -> 5327
{943} -> 5328
{947} -> 7203
{959} -> 5329
{960} -> 5330
{964} -> 5331
{981} -> 7204
{993} -> 7302
{994} -> 5006
{995} -> 4142
{996} -> 5072
{997} -> 7314
{998} -> 5007
{999} -> 1288
{1000} -> 1508
{1001} -> 5073
{1003} -> 4153
{1004} -> 1728
{1005} -> 4164
{1008} -> 5138
{1009} -> 5139
{1013} -> 7326
{1015} -> 5008
{1016} -> 1289
{1017} -> 1509
{1018} -> 5074
{1020} -> 1290
{1021} -> 5
{1022} -> 1510
{1025} -> 1729
{1026} -> 1730
{1030} -> 5140
{1031} -> 5332
{1032} -> 5333
{1036} -> 5334
{1037} -> 4175
{1038} -> 1948
{1039} -> 4186
{1042} -> 1949
{1043} -> 1950
{1047} -> 4197
{1053} -> 5335
{1059} -> 5204
{1060} -> 5205
{1064} -> 5206
{1081} -> 7338
{1087} -> 5009
{1088} -> 1291
{1089} -> 1511
{1090} -> 5075
{1092} -> 1292
{1093} -> 6
{1094} -> 1512
{1097} -> 1731
{1098} -> 1732
{1102} -> 5141
{1109} -> 1293
{1110} -> 7
{1111} -> 1513
{1114} -> 8
{1115} -> 9
{1119} -> 1733
{1125} -> 7205
{1131} -> 1951
{1132} -> 1952
{1136} -> 1953
{1153} -> 5207
{1181} -> 4208
{1182} -> 2168
{1183} -> 4219
{1186} -> 2169
{1187} -> 2170
{1191} -> 4230
{1203} -> 2171
