"{"AAo", 0.8520483840034079, 1.7040967680068158}","{"AAo", 0.7343505889603023, 2.2030517668809066}","{"AAo", 0.6383202772045026, 2.5532811088180103}","{"AAo", 0.558690565370835, 2.7934528268541747}","{"AAo", 0.49189764959276644, 2.9513858975565985}","{"AAo", 0.43539355719760187, 3.047754900383213}","{"AAo", 0.38726142227492893, 3.0980913781994315}","{"AAo", 0.34610862183928603, 3.114977596553574}","{"AAo", 0.31081365003471806, 3.1081365003471806}"
"{"KKo", 0.823975874858727, 1.647951749717454}","{"KKo", 0.68868625989697, 2.06605877969091}","{"KKo", 0.582412527045757, 2.329650108183028}","{"KKo", 0.4977384519389838, 2.4886922596949193}","{"KKo", 0.42958773088583024, 2.5775263853149815}","{"KKo", 0.3742377820729028, 2.6196644745103197}","{"KKo", 0.3289779669623636, 2.6318237356989087}","{"KKo", 0.2917043225387906, 2.625338902849115}","{"KKo", 0.2608678027597123, 2.6086780275971226}"
"{"QQo", 0.7992546848519375, 1.598509369703875}","{"QQo", 0.6492951168853888, 1.9478853506561662}","{"QQo", 0.5351376702637094, 2.1405506810548376}","{"QQo", 0.44722015114206026, 2.2361007557103014}","{"QQo", 0.37884218347713744, 2.2730531008628247}","{"QQo", 0.3252674666135003, 2.276872266294502}","{"QQo", 0.2829506271042343, 2.2636050168338744}","{"QQo", 0.2492784722177956, 2.24350624996016}","{"QQo", 0.22229981375627658, 2.2229981375627657}"
"{"JJo", 0.7747303195153248, 1.5494606390306496}","{"JJo", 0.6116967346479271, 1.835090203943781}","{"JJo", 0.49176751421272724, 1.967070056850909}","{"JJo", 0.40259794917391006, 2.0129897458695503}","{"JJo", 0.3357192219193507, 2.014315331516104}","{"JJo", 0.2850589619506853, 1.995412733654797}","{"AKs", 0.24957351919521792, 1.9965881535617434}","{"AKs", 0.2265519891794856, 2.0389679026153704}","{"AKs", 0.2069047796924169, 2.069047796924169}"
"{"TTo", 0.7501530334985076, 1.5003060669970152}","{"TTo", 0.5757585699583946, 1.7272757098751836}","{"TTo", 0.4520759291627223, 1.8083037166508893}","{"TTo", 0.3633935592151108, 1.816967796075554}","{"AKs", 0.3106859987755318, 1.864115992653191}","{"AKs", 0.2769919708186736, 1.9389437957307152}","{"JJo", 0.2463644297844223, 1.9709154382753784}","{"JJo", 0.2165289058414574, 1.9487601525731166}","{"JJo", 0.1932724665807367, 1.9327246658073671}"
"{"99o", 0.7205708788349765, 1.441141757669953}","{"99o", 0.5360003277711665, 1.6080009833134994}","{"AKs", 0.41430792546901735, 1.6572317018760694}","{"AKs", 0.35406711917653333, 1.7703355958826665}","{"TTo", 0.2991924725984691, 1.7951548355908145}","{"AQs", 0.25971670136802355, 1.818016909576165}","{"AQs", 0.23295982381199837, 1.863678590495987}","{"AQs", 0.21092648918835732, 1.898338402695216}","{"AQs", 0.19244466786866027, 1.9244466786866026}"
"{"88o", 0.6916417939029021, 1.3832835878058043}","{"AKs", 0.5072296130387938, 1.5216888391163814}","{"99o", 0.4113878625131553, 1.6455514500526212}","{"AQs", 0.3369341548317088, 1.684670774158544}","{"AQs", 0.29312863944116824, 1.7587718366470093}","{"TTo", 0.2522087254770495, 1.7654610783393463}","{"KQs", 0.22555590104987894, 1.8044472083990315}","{"KQs", 0.20418755225714275, 1.8376879703142848}","{"KQs", 0.18628877958916013, 1.8628877958916013}"
"{"AKs", 0.6704687018642083, 1.3409374037284165}","{"88o", 0.4995194501627741, 1.4985583504883224}","{"AQs", 0.39853232539268124, 1.594129301570725}","{"99o", 0.325861300626868, 1.6293065031343401}","{"KQs", 0.28343987063790593, 1.7006392238274355}","{"KQs", 0.2514021621230166, 1.7598151348611162}","{"AJs", 0.2200670713534203, 1.7605365708273624}","{"AJs", 0.1990367498052099, 1.7913307482468892}","{"AJs", 0.18162214229184603, 1.8162214229184603}"
"{"77o", 0.6623690944048185, 1.324738188809637}","{"AQs", 0.4941983851312164, 1.4825951553936492}","{"KAo", 0.3854118269090554, 1.5416473076362216}","{"KQs", 0.32475245570327455, 1.6237622785163728}","{"AJs", 0.2787736737024857, 1.672642042214914}","{"AJs", 0.24593898076133755, 1.721572865329363}","{"TTo", 0.2174368225877164, 1.7394945807017312}","{"KJs", 0.1931178929351836, 1.7380610364166524}","{"KJs", 0.17636744555073597, 1.7636744555073598}"
"{"AQs", 0.6621371402156232, 1.3242742804312464}","{"KAo", 0.48213535895196125, 1.4464060768558837}","{"AJs", 0.3845601644852621, 1.5382406579410484}","{"KAo", 0.3231209060546049, 1.6156045302730246}","{"KAo", 0.27847306136804123, 1.6708383682082473}","{"KAo", 0.24390213320603443, 1.707314932442241}","{"KAo", 0.21578620229432768, 1.7262896183546215}","{"KAo", 0.1922246995335905, 1.7300222958023146}","{"ATs", 0.17349892720371093, 1.7349892720371094}"
"{"AJs", 0.653923551284588, 1.307847102569176}","{"AJs", 0.4819892082738355, 1.4459676248215065}","{"KQs", 0.3819806429652787, 1.527922571861115}","{"AJs", 0.3224106282395353, 1.6120531411976766}","{"KJs", 0.26954486869927163, 1.6172692121956298}","{"KJs", 0.23823266446270766, 1.6676286512389535}","{"KJs", 0.21335644470435552, 1.7068515576348442}","{"TTo", 0.19135713268673854, 1.7222141941806468}","{"QJs", 0.17223348680010717, 1.7223348680010717}"
