1,1,o
2,1,o
2,1,s
2,2,o
3,1,o
3,1,s
3,2,o
3,2,s
3,3,o
4,1,o
4,1,s
4,2,o
4,2,s
4,3,o
4,3,s
4,4,o
5,1,o
5,1,s
5,2,o
5,2,s
5,3,o
5,3,s
5,4,o
5,4,s
5,5,o
6,1,o
6,1,s
6,2,o
6,2,s
6,3,o
6,3,s
6,4,o
6,4,s
6,5,o
6,5,s
6,6,o
7,1,o
7,1,s
7,2,o
7,2,s
7,3,o
7,3,s
7,4,o
7,4,s
7,5,o
7,5,s
7,6,o
7,6,s
7,7,o
8,1,o
8,1,s
8,2,o
8,2,s
8,3,o
8,3,s
8,4,o
8,4,s
8,5,o
8,5,s
8,6,o
8,6,s
8,7,o
8,7,s
8,8,o
9,1,o
9,1,s
9,2,o
9,2,s
9,3,o
9,3,s
9,4,o
9,4,s
9,5,o
9,5,s
9,6,o
9,6,s
9,7,o
9,7,s
9,8,o
9,8,s
9,9,o
10,1,o
10,1,s
10,2,o
10,2,s
10,3,o
10,3,s
10,4,o
10,4,s
10,5,o
10,5,s
10,6,o
10,6,s
10,7,o
10,7,s
10,8,o
10,8,s
10,9,o
10,9,s
10,10,o
11,1,o
11,1,s
11,2,o
11,2,s
11,3,o
11,3,s
11,4,o
11,4,s
11,5,o
11,5,s
11,6,o
11,6,s
11,7,o
11,7,s
11,8,o
11,8,s
11,9,o
11,9,s
11,10,o
11,10,s
11,11,o
12,1,o
12,1,s
12,2,o
12,2,s
12,3,o
12,3,s
12,4,o
12,4,s
12,5,o
12,5,s
12,6,o
12,6,s
12,7,o
12,7,s
12,8,o
12,8,s
12,9,o
12,9,s
12,10,o
12,10,s
12,11,o
12,11,s
12,12,o
13,1,o
13,1,s
13,2,o
13,2,s
13,3,o
13,3,s
13,4,o
13,4,s
13,5,o
13,5,s
13,6,o
13,6,s
13,7,o
13,7,s
13,8,o
13,8,s
13,9,o
13,9,s
13,10,o
13,10,s
13,11,o
13,11,s
13,12,o
13,12,s
13,13,o
